round_no,date,round_type,invitations,min_score,tie_break,ingested_at
"444","2026-09-16","Senior managers with Canadian Work Experience, 2026-Version 1","250","389","September 01, 2026 at 23:05:13 UTC","2026-09-25T00:20:35Z"
"443","2026-09-15","Canadian Experience Class","2000","519","March 26, 2026 at 00:16:39 UTC","2026-09-25T00:20:35Z"
"442","2026-09-14","Provincial Nominee Program","576","734","August 29, 2026 at 21:39:50 UTC","2026-09-25T00:20:35Z"
"441","2026-09-04","Healthcare and Social Services Occupations, 2026-Version 3","3500","475","May 26, 2026 at 00:26:14 UTC","2026-09-25T00:20:35Z"
"440","2026-09-03","Physicians with Canadian Work Experience, 2026-Version 1","229","198","August 06, 2026 at 19:40:38 UTC","2026-09-25T00:20:35Z"
"439","2026-09-01","Canadian Experience Class","2000","521","August 18, 2026 at 03:24:13 UTC","2026-09-25T00:20:35Z"
"438","2026-08-31","Provincial Nominee Program","562","697","April 12th, 2026 at 04:32:26 UTC","2026-09-25T00:20:35Z"
"437","2026-08-19","French-Language proficiency 2026-Version 2","5000","382","March 1, 2026 at 18:34:05 UTC","2026-09-25T00:20:35Z"
"436","2026-08-18","Canadian Experience Class","1000","523","August 17, 2026 at 22:09:00 UTC","2026-09-25T00:20:35Z"
"435","2026-08-17","Provincial Nominee Program","442","760","August 07, 2026 at 18:01:56 UTC","2026-09-25T00:20:35Z"
"434","2026-08-07","Transport Occupations, 2026-Version 2","300","470","October 11, 2025 at 14:55:49 UTC","2026-09-25T00:20:35Z"
"433","2026-08-06","French-Language proficiency 2026-Version 2","5000","391","March 18, 2026 at 23:32:40 UTC","2026-09-25T00:20:35Z"
"432","2026-08-05","Canadian Experience Class","3000","516","July 3rd 2026 at 21:35:13 UTC","2026-09-25T00:20:35Z"
"431","2026-08-04","Provincial Nominee Program","507","768","May 15, 2026 at 15:58:19 UTC","2026-09-25T00:20:35Z"
"430","2026-07-23","Skilled Military Recruits, 2026-Version 1","4","368","June 02, 2026 at 20:11:26 UTC","2026-09-25T00:20:35Z"
"429","2026-07-22","French-Language proficiency 2026-Version 2","5000","399","November 19, 2025 at 21:21:56 UTC","2026-09-25T00:20:35Z"
"428","2026-07-21","Canadian Experience Class","2000","516","May 26, 2026 at 17:33:03 UTC","2026-09-25T00:20:35Z"
"427","2026-07-20","Provincial Nominee Program","511","744","May 26, 2026 at 18:11:36 UTC","2026-09-25T00:20:35Z"
"426","2026-07-10","Senior managers with Canadian Work Experience, 2026-Version 1","500","392","March 15, 2026 at 01:46:05 UTC","2026-09-25T00:20:35Z"
"425","2026-07-09","French-Language proficiency 2026-Version 2","5000","420","May 15, 2026 at 08:04:00 UTC","2026-09-25T00:20:35Z"
"424","2026-07-07","Canadian Experience Class","2000","517","December 29, 2025 at 17:49:27 UTC","2026-09-25T00:20:35Z"
"423","2026-07-06","Provincial Nominee Program","534","708","June 4, 2026 at 14:49:51 UTC","2026-09-25T00:20:35Z"
"422","2026-06-25","Healthcare and Social Services Occupations, 2026-Version 3","4000","475","May 21, 2026 at  12:14:09 UTC","2026-09-25T00:20:35Z"
"421","2026-06-24","Physicians with Canadian Work Experience, 2026-Version 1","271","223","May 31, 2026 at 18:13:49 UTC","2026-09-25T00:20:35Z"
"420","2026-06-23","Canadian Experience Class","4000","516","April 14, 2026 at 00:03:10 UTC","2026-09-25T00:20:35Z"
"419","2026-06-22","Provincial Nominee Program","955","730","March 09, 2026 at 01:02:28 UTC","2026-09-25T00:20:35Z"
"418","2026-05-28","French-Language proficiency 2026-Version 2","4500","409","April 29, 2026 at 22:20:00 UTC","2026-09-25T00:20:35Z"
"417","2026-05-27","Canadian Experience Class","3000","518","April 30, 2026 at 03:16:01 UTC","2026-09-25T00:20:35Z"
"416","2026-05-25","Provincial Nominee Program","334","805","October 16, 2025 at 18:16:33 UTC","2026-09-25T00:20:35Z"
"415","2026-05-11","Provincial Nominee Program","380","798","January 07, 2026 at 05:23:31 UTC","2026-09-25T00:20:35Z"
"414","2026-04-29","French-Language proficiency 2026-Version 2","4000","400","April 07, 2026 at 20:13:59 UTC","2026-09-25T00:20:35Z"
"413","2026-04-28","Canadian Experience Class","2000","514","September 24, 2025 at 14:18:43 UTC","2026-09-25T00:20:35Z"
"412","2026-04-27","Provincial Nominee Program","473","795","April 13, 2026  at 23:10:05 UTC","2026-09-25T00:20:35Z"
"411","2026-04-15","French-Language proficiency 2026-Version 2","4000","419","November 14, 2025 at 07:14:25 UTC","2026-09-25T00:20:35Z"
"410","2026-04-14","Canadian Experience Class","2000","515","June 10, 2025 at 02:46:26 UTC","2026-09-25T00:20:35Z"
"409","2026-04-13","Provincial Nominee Program","324","786","November 19, 2025 at 18:53:59 UTC","2026-09-25T00:20:35Z"
"408","2026-04-02","Trades Occupations, 2026-Version 3","3000","477","February 14, 2026 at 20:53:54 UTC","2026-09-25T00:20:35Z"
"407","2026-03-31","Canadian Experience Class","2250","509","March 18, 2026 at 08:27:11 UTC","2026-09-25T00:20:35Z"
"406","2026-03-30","Provincial Nominee Program","356","802","February 12, 2026 at 03:54:03 UTC","2026-09-25T00:20:35Z"
"405","2026-03-18","French-Language proficiency 2026-Version 2","4000","393","December 29, 2025 at 12:47:31 UTC","2026-09-25T00:20:35Z"
"404","2026-03-17","Canadian Experience Class","4000","507","May 11, 2025 at 18:57:31 UTC","2026-09-25T00:20:35Z"
"403","2026-03-16","Provincial Nominee Program","362","742","October 05, 2025 at 20:35:25 UTC","2026-09-25T00:20:35Z"
"402","2026-03-05","Senior managers with Canadian Work Experience, 2026-Version 1","250","429","August 19, 2025 at 15:10:18 UTC","2026-09-25T00:20:35Z"
"401","2026-03-04","French-Language proficiency 2026-Version 2","5500","397","October 10, 2025 at 18:18:20 UTC","2026-09-25T00:20:35Z"
"400","2026-03-03","Canadian Experience Class","4000","508","June 24, 2025 at 22:35:48 UTC","2026-09-25T00:20:35Z"
"399","2026-03-02","Provincial Nominee Program","264","710","August 07, 2025 at 18:02:56 UTC","2026-09-25T00:20:35Z"
